pid,gid,gsize,time,friend,fid,self_other,liking,incentive,age,race,sex
74,32,3,4,2,73,1,5.333333333,0,18,8,1
74,32,3,5,1,75,1,6.75,0,18,8,1
74,32,3,5,2,73,1,7,0,18,8,1
75,32,3,1,1,74,1,2.75,1,19,1,1
75,32,3,1,2,73,1,3.75,1,19,1,1
75,32,3,2,1,74,1,2.666666667,1,19,1,1
75,32,3,2,2,73,1,2,1,19,1,1
75,32,3,3,1,74,1,1,1,19,1,1
75,32,3,3,2,73,1,2,1,19,1,1
75,32,3,4,1,74,1,1,1,19,1,1
75,32,3,4,2,73,1,1,1,19,1,1
75,32,3,5,1,74,1,5,1,19,1,1
75,32,3,5,2,73,1,1.75,1,19,1,1
76,33,3,1,1,78,1,7,1,18,1,1
76,33,3,2,1,78,1,7,1,18,1,1
76,33,3,3,1,78,1,5,1,18,1,1
76,33,3,4,1,78,1,6,1,18,1,1
76,33,3,5,1,78,1,7,1,18,1,1
77,33,3,1,2,78,1,2,1,19,7,1
77,33,3,2,2,78,1,3,1,19,7,1
77,33,3,4,2,78,1,2,1,19,7,1
77,33,3,5,2,78,1,2.25,1,19,7,1
78,33,3,1,1,76,1,7,0,18,1,1
78,33,3,2,1,76,1,5,0,18,1,1
78,33,3,3,1,76,1,6,0,18,1,1
78,33,3,4,1,76,1,5,0,18,1,1
78,33,3,5,1,76,1,7,0,18,1,1
79,34,4,1,1,80,1,4,0,18,3,3
79,34,4,1,3,82,1,6,0,18,3,3
79,34,4,2,1,80,1,5,0,18,3,3
79,34,4,2,3,82,1,7,0,18,3,3
79,34,4,3,1,80,1,6,0,18,3,3
79,34,4,3,3,82,1,7,0,18,3,3
79,34,4,4,1,80,1,5,0,18,3,3
79,34,4,4,3,82,1,6,0,18,3,3
79,34,4,5,1,80,1,6,0,18,3,3
79,34,4,5,3,82,1,3.25,0,18,3,3
80,34,4,1,3,82,1,3,1,18,8,3
80,34,4,2,3,82,1,1.666666667,1,18,8,3
80,34,4,4,3,82,1,1,1,18,8,3
80,34,4,5,3,82,1,2,1,18,8,3
82,34,4,1,1,79,1,6.5,1,18,2,1
82,34,4,1,2,80,1,5.75,1,18,2,1
82,34,4,2,1,79,1,7,1,18,2,1
82,34,4,2,2,80,1,7,1,18,2,1
82,34,4,3,1,79,1,5.666666667,1,18,2,1
82,34,4,3,2,80,1,6,1,18,2,1
82,34,4,4,1,79,1,4.333333333,1,18,2,1
82,34,4,4,2,80,1,2.333333333,1,18,2,1
82,34,4,5,1,79,1,3.5,1,18,2,1
82,34,4,5,2,80,1,3.25,1,18,2,1
83,35,4,1,1,84,1,5.5,1,20,1,3
83,35,4,1,2,85,1,4.5,1,20,1,3
83,35,4,1,3,86,1,5.75,1,20,1,3
83,35,4,2,1,84,1,5.333333333,1,20,1,3
83,35,4,2,2,85,1,4,1,20,1,3
83,35,4,2,3,86,1,5.333333333,1,20,1,3
83,35,4,3,1,84,1,4.666666667,1,20,1,3
83,35,4,3,2,85,1,4.666666667,1,20,1,3
83,35,4,3,3,86,1,5,1,20,1,3
83,35,4,4,1,84,1,5.666666667,1,20,1,3
83,35,4,4,2,85,1,3.666666667,1,20,1,3
83,35,4,4,3,86,1,5,1,20,1,3
83,35,4,5,1,84,1,5.5,1,20,1,3
83,35,4,5,2,85,1,4,1,20,1,3
83,35,4,5,3,86,1,5.25,1,20,1,3
84,35,4,1,1,83,1,6.5,0,18,1,3
84,35,4,1,2,85,1,6.25,0,18,1,3
84,35,4,1,3,86,1,6.75,0,18,1,3
84,35,4,2,1,83,1,6,0,18,1,3
84,35,4,2,2,85,1,6,0,18,1,3
84,35,4,2,3,86,1,2,0,18,1,3
84,35,4,4,1,83,1,6,0,18,1,3
84,35,4,4,2,85,1,6,0,18,1,3
84,35,4,4,3,86,1,6,0,18,1,3
84,35,4,5,1,83,1,6,0,18,1,3
84,35,4,5,2,85,1,6,0,18,1,3
84,35,4,5,3,86,1,7,0,18,1,3
85,35,4,1,1,83,1,4.25,1,18,8,3
85,35,4,1,2,84,1,7,1,18,8,3
85,35,4,1,3,86,1,6.25,1,18,8,3
85,35,4,2,1,83,1,5.333333333,1,18,8,3
85,35,4,2,2,84,1,6,1,18,8,3
85,35,4,2,3,86,1,5.333333333,1,18,8,3
85,35,4,3,1,83,1,5.666666667,1,18,8,3
85,35,4,3,2,84,1,7,1,18,8,3
85,35,4,3,3,86,1,7,1,18,8,3
85,35,4,4,1,83,1,6,1,18,8,3
85,35,4,4,2,84,1,7,1,18,8,3
85,35,4,4,3,86,1,7,1,18,8,3
85,35,4,5,1,83,1,3.5,1,18,8,3
85,35,4,5,2,84,1,6.25,1,18,8,3
85,35,4,5,3,86,1,7,1,18,8,3
86,35,4,1,1,83,1,6,1,18,4,3
86,35,4,1,2,84,1,6,1,18,4,3
86,35,4,1,3,85,1,6,1,18,4,3
86,35,4,3,1,83,1,6,1,18,4,3
86,35,4,3,2,84,1,6,1,18,4,3
86,35,4,3,3,85,1,6,1,18,4,3
86,35,4,4,1,83,1,7,1,18,4,3
86,35,4,4,2,84,1,7,1,18,4,3
86,35,4,4,3,85,1,7,1,18,4,3
86,35,4,5,1,83,1,7,1,18,4,3
86,35,4,5,2,84,1,7,1,18,4,3
86,35,4,5,3,85,1,7,1,18,4,3
87,36,4,1,1,88,1,5,1,18,1,3
87,36,4,1,2,89,1,6.75,1,18,1,3
87,36,4,1,3,90,1,4.25,1,18,1,3
87,36,4,2,1,88,1,4.666666667,1,18,1,3
87,36,4,2,2,89,1,3,1,18,1,3
87,36,4,2,3,90,1,2,1,18,1,3
87,36,4,3,1,88,1,4,1,18,1,3
87,36,4,3,2,89,1,1,1,18,1,3
87,36,4,3,3,90,1,4.333333333,1,18,1,3
87,36,4,4,1,88,1,1,1,18,1,3
87,36,4,4,2,89,1,1,1,18,1,3
87,36,4,4,3,90,1,1,1,18,1,3
87,36,4,5,1,88,1,1.5,1,18,1,3
87,36,4,5,2,89,1,1.25,1,18,1,3
87,36,4,5,3,90,1,2,1,18,1,3
88,36,4,1,2,89,1,3.5,1,18,4,3
88,36,4,1,3,90,1,4.75,1,18,4,3
88,36,4,2,2,89,1,5,1,18,4,3
88,36,4,2,3,90,1,5,1,18,4,3
88,36,4,3,2,89,1,5,1,18,4,3
88,36,4,3,3,90,1,4,1,18,4,3
88,36,4,4,2,89,1,4.666666667,1,18,4,3
88,36,4,4,3,90,1,4,1,18,4,3
88,36,4,5,2,89,1,4.25,1,18,4,3
88,36,4,5,3,90,1,4.25,1,18,4,3
89,36,4,1,1,88,1,3.25,0,18,1,3
89,36,4,1,2,87,1,6,0,18,1,3
89,36,4,1,3,90,1,4.5,0,18,1,3
89,36,4,2,1,88,1,5,0,18,1,3
89,36,4,2,2,87,1,5,0,18,1,3
89,36,4,2,3,90,1,4.333333333,0,18,1,3
91,37,5,1,1,92,1,4,0,18,2,3
91,37,5,1,2,94,1,4.25,0,18,2,3
91,37,5,1,3,93,1,3.5,0,18,2,3
91,37,5,2,1,92,1,3.333333333,0,18,2,3
91,37,5,2,2,94,1,5,0,18,2,3
91,37,5,2,3,93,1,5,0,18,2,3
91,37,5,3,1,92,1,3,0,18,2,3
91,37,5,3,2,94,1,3.333333333,0,18,2,3
91,37,5,3,3,93,1,5.666666667,0,18,2,3
91,37,5,4,1,92,1,3,0,18,2,3
91,37,5,4,2,94,1,3.666666667,0,18,2,3
91,37,5,4,3,93,1,3.666666667,0,18,2,3
91,37,5,5,1,92,1,3.75,0,18,2,3
91,37,5,5,2,94,1,3.75,0,18,2,3
91,37,5,5,3,93,1,4.75,0,18,2,3
92,37,5,1,1,91,1,7,1,18,8,3
92,37,5,1,2,94,1,7,1,18,8,3
92,37,5,1,3,93,1,7,1,18,8,3
92,37,5,2,1,91,1,6,1,18,8,3
92,37,5,2,2,94,1,6,1,18,8,3
92,37,5,2,3,93,1,6,1,18,8,3
92,37,5,3,1,91,1,6,1,18,8,3
92,37,5,3,2,94,1,1,1,18,8,3
92,37,5,3,3,93,1,4.333333333,1,18,8,3
92,37,5,4,1,91,1,7,1,18,8,3
92,37,5,4,2,94,1,1,1,18,8,3
92,37,5,4,3,93,1,5,1,18,8,3
92,37,5,5,1,91,1,7,1,18,8,3
92,37,5,5,2,94,1,1,1,18,8,3
92,37,5,5,3,93,1,5,1,18,8,3
93,37,5,1,1,91,1,4.75,0,18,8,3
93,37,5,1,2,92,1,1.25,0,18,8,3
93,37,5,1,3,94,1,3.5,0,18,8,3
93,37,5,1,4,95,1,5,0,18,8,3
93,37,5,2,1,91,1,4,0,18,8,3
93,37,5,2,2,92,1,1.666666667,0,18,8,3
93,37,5,2,3,94,1,3.666666667,0,18,8,3
93,37,5,2,4,95,1,6,0,18,8,3
93,37,5,3,1,91,1,4,0,18,8,3
93,37,5,3,2,92,1,1.666666667,0,18,8,3
93,37,5,3,3,94,1,1,0,18,8,3
93,37,5,4,1,91,1,4,0,18,8,3
93,37,5,4,2,92,1,2.666666667,0,18,8,3
93,37,5,4,3,94,1,2.666666667,0,18,8,3
93,37,5,5,1,91,1,4.75,0,18,8,3
93,37,5,5,2,92,1,1,0,18,8,3
93,37,5,5,3,94,1,1,0,18,8,3
93,37,5,5,4,95,1,2,0,18,8,3
94,37,5,1,1, ,1,4.5,0,19,1,3
94,37,5,1,2, ,1,1,0,19,1,3
94,37,5,1,3, ,1,2,0,19,1,3
94,37,5,1,4, ,1,2.333333333,0,19,1,3
96,38,5,1,1,98,1,7,0,18,1,1
96,38,5,1,2,97,1,5,0,18,1,1
96,38,5,1,3,99,1,7,0,18,1,1
96,38,5,1,4, ,1,4,0,18,1,1
